entity_text,entity_label,entity_parent_label,typing_score,start,end,page_url
人工智能也广泛,SUBJECT.ComputerScience,SUBJECT,0.6,0,7,local://test.txt
许多不同领域,TECH.Technology,TECH,0.7,10,16,local://test.txt
机器人,TECH.Technology,TECH,0.1,17,20,local://test.txt
基础设施,TECH.Technology,TECH,0.1,32,36,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.6,37,41,local://test.txt
运输系统,TECH.Technology,TECH,0.6,43,47,local://test.txt
平台,FIELD.ResearchField,FIELD,0.1,57,59,local://test.txt
空气质量,FIELD.ResearchField,FIELD,0.1,75,79,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.6,88,92,local://test.txt
基础设施,TECH.Technology,TECH,0.1,100,104,local://test.txt
技术,TECH.Technology,TECH,0.6,105,107,local://test.txt
数字化,FIELD.ResearchField,FIELD,0.1,137,140,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.9,164,168,local://test.txt
基础设施,TECH.Technology,TECH,0.3,175,179,local://test.txt
计算能力,FIELD.ResearchField,FIELD,0.1,187,191,local://test.txt
连接性,SUBJECT.ComputerScience,SUBJECT,0.3,192,195,local://test.txt
最近,TECH.Technology,TECH,0.3,207,209,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.9,214,218,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.6,236,240,local://test.txt
公共服务,TECH.Technology,TECH,0.3,244,248,local://test.txt
机器人,TECH.Technology,TECH,0.3,257,260,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.6,277,281,local://test.txt
技术,TECH.Technology,TECH,0.6,290,292,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.6,295,299,local://test.txt
规划者,TECH.Technology,TECH,0.3,305,308,local://test.txt
规划,FIELD.ResearchField,FIELD,0.1,326,328,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.6,333,337,local://test.txt
土地利用,TECH.Technology,TECH,0.1,344,348,local://test.txt
解决方案,TECH.Technology,TECH,0.1,348,352,local://test.txt
土地利用,TECH.Technology,TECH,0.1,364,368,local://test.txt
规划,FIELD.ResearchField,FIELD,0.1,368,370,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.6,371,375,local://test.txt
图灵,PER.Politician,PER,0.1,409,411,local://test.txt
图灵,PER.Politician,PER,0.1,449,451,local://test.txt
计算机,SUBJECT.ComputerScience,SUBJECT,0.6,494,497,local://test.txt
科学家,DATE.CalendarDate,DATE,0.6,497,500,local://test.txt
数学家,TIME.ClockTime,TIME,0.6,501,504,local://test.txt
逻辑学家,SUBJECT.ComputerScience,SUBJECT,0.3,505,509,local://test.txt
生物学家,SUBJECT.Biology,SUBJECT,0.6,519,523,local://test.txt
被誉为,SUBJECT.ComputerScience,SUBJECT,0.3,525,528,local://test.txt
计算机科学,TECH.Technology,TECH,1.2,528,533,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.9,534,538,local://test.txt
二次世界大战,SUBJECT.ComputerScience,SUBJECT,0.3,543,549,local://test.txt
技术,TECH.Technology,TECH,0.6,591,593,local://test.txt
密码机,FIELD.ResearchField,FIELD,0.1,623,626,local://test.txt
关键作用,FIELD.ResearchField,FIELD,0.1,652,656,local://test.txt
大西洋,LOC.Country,LOC,0.1,665,668,local://test.txt
轴心国,FIELD.ResearchField,FIELD,0.1,682,685,local://test.txt
人工智能,SUBJECT.ComputerScience,SUBJECT,0.9,711,715,local://test.txt
计算机,SUBJECT.ComputerScience,SUBJECT,0.6,736,739,local://test.txt
测试方法,PER.Scientist,PER,0.3,798,802,local://test.txt
图灵机,THEORY.LawOrTheorem,THEORY,0.6,836,839,local://test.txt
模型,PROD.SoftwareOrModel,PROD,0.6,839,841,local://test.txt
计算机,SUBJECT.ComputerScience,SUBJECT,0.9,844,847,local://test.txt
同性恋者,SUBJECT.ComputerScience,SUBJECT,0.6,866,870,local://test.txt
英国政府,ORG.Government,ORG,0.7,884,888,local://test.txt
职业生涯,PER.Politician,PER,0.3,891,895,local://test.txt
过敏症,PER.Politician,PER,0.3,904,907,local://test.txt
运动员,PER.Athlete,PER,0.6,918,921,local://test.txt
马拉松,PER.Politician,PER,0.1,924,927,local://test.txt
2小时46分03秒,TIME.ClockTime,TIME,1.9,932,941,local://test.txt
1948年,DATE.CalendarDate,DATE,0.7,949,954,local://test.txt
奥林匹克运动会,TIME.ClockTime,TIME,0.1,954,961,local://test.txt
1948年,DATE.CalendarDate,DATE,0.7,971,976,local://test.txt
越野赛跑,PER.Athlete,PER,0.3,979,983,local://test.txt
理查兹,PER.Athlete,PER,0.4,1001,1004,local://test.txt
