entity_id,entity_name,entity_type,raw_name,source_sentence
CONCEPT-001,图灵,CONCEPT,图灵,图灵是英国著名的数学逻辑学家
CONCEPT-002,数学逻辑学家,CONCEPT,数学逻辑学家,图灵是英国著名的数学逻辑学家
CONCEPT-003,计算机科学,CONCEPT,计算机科学,被称为计算机科学之父
ORG-004,剑桥大学国王学院,ORG,剑桥大学国王学院,图灵进入剑桥大学国王学院学习数学
CONCEPT-005,数学,CONCEPT,数学,图灵进入剑桥大学国王学院学习数学
ORG-006,美国普林斯顿大学,ORG,美国普林斯顿大学,图灵前往美国普林斯顿大学攻读博士学位
CONCEPT-007,博士学位,CONCEPT,博士学位,图灵前往美国普林斯顿大学攻读博士学位
PER-008,博士生导师,PER,博士生导师,他的博士生导师是著名数学家阿隆佐·丘奇
CONCEPT-009,数学家阿隆佐,CONCEPT,数学家阿隆佐,他的博士生导师是著名数学家阿隆佐·丘奇
PER-010,丘奇,PER,丘奇,他的博士生导师是著名数学家阿隆佐·丘奇
PER-011,莱切利园,PER,莱切利园,在布莱切利园破解了德国的恩尼格玛密码系统
PER-012,尼格玛密码系统,PER,尼格玛密码系统,在布莱切利园破解了德国的恩尼格玛密码系统
CONCEPT-013,计算机协会,CONCEPT,计算机协会,美国计算机协会设立了图灵奖
CONCEPT-014,图灵奖,CONCEPT,图灵奖,美国计算机协会设立了图灵奖
